category,manufacturer/importer,brand,pet_type,price_segment,package_type,export,january_2021_units,february_2021_units,march_2021_units,april_2021_units,may_2021_units,june_2021_units,july_2021_units,august_2021_units,september_2021_units,october_2021_units,november_2021_units,december_2021_units,january_2022_units,february_2022_units,march_2022_units,april_2022_units,may_2022_units,june_2022_units,july_2022_units,august_2022_units,september_2022_units,october_2022_units,november_2022_units,december_2022_units,january_2023_units,february_2023_units,march_2023_units,april_2023_units,may_2023_units,june_2023_units,january_2021_tons,february_2021_tons,march_2021_tons,april_2021_tons,may_2021_tons,june_2021_tons,july_2021_tons,august_2021_tons,september_2021_tons,october_2021_tons,november_2021_tons,december_2021_tons,january_2022_tons,february_2022_tons,march_2022_tons,april_2022_tons,may_2022_tons,june_2022_tons,july_2022_tons,august_2022_tons,september_2022_tons,october_2022_tons,november_2022_tons,december_2022_tons,january_2023_tons,february_2023_tons,march_2023_tons,april_2023_tons,may_2023_tons,june_2023_tons,january_2021_mil_uah,february_2021_mil_uah,march_2021_mil_uah,april_2021_mil_uah,may_2021_mil_uah,june_2021_mil_uah,july_2021_mil_uah,august_2021_mil_uah,september_2021_mil_uah,october_2021_mil_uah,november_2021_mil_uah,december_2021_mil_uah,january_2022_mil_uah,february_2022_mil_uah,march_2022_mil_uah,april_2022_mil_uah,may_2022_mil_uah,june_2022_mil_uah,july_2022_mil_uah,august_2022_mil_uah,september_2022_mil_uah,october_2022_mil_uah,november_2022_mil_uah,december_2022_mil_uah,january_2023_mil_uah,february_2023_mil_uah,march_2023_mil_uah,april_2023_mil_uah,may_2023_mil_uah,june_2023_mil_uah
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (ТМ «1»),dogs,economy,sack,1,,,,,,,,,,,,,,,,,,,,39,141,,,195,675,,78,,,,,,,,,,,,,,,,,,,,,,,0.59,0.2,,,0.1,0.34,,1.17,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,0,0.01,,0.04,,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (ТМ «1»),dogs,economy,sack,0,472,452,518,454,447,404,434,670,459,575,522,550,1 162.00,1 034.00,5 550.00,659,1 003.00,516,816,4 724.00,6 410.00,3 488.00,230,2 630.00,1 974.00,2 246.00,2 433.00,846,2 404.00,3 449.00,7.08,6.78,7.77,6.81,6.71,6.06,6.51,10.05,6.89,8.63,7.83,8.25,10.25,5.72,19.96,9.89,15.05,0.78,1.92,9.7,14.49,9.24,2.44,5.96,10.25,7.69,9.74,3.67,7.68,9.21,0.18,0.19,0.24,0.21,0.21,0.19,0.2,0.31,0.22,0.27,0.26,0.28,0.36,0.22,0.84,0.45,0.69,0.04,0.1,0.49,0.69,0.48,0.12,0.32,0.53,0.41,0.51,0.19,0.41,0.5
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (ТМ «Кожен день»),dogs,economy,sack,0,1 395.00,1 065.00,1 065.00,780,495,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.53,0.53,0.39,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,CTM_CHYSTA_VYHODA,cats,economy,sack,0,24 956.00,8 228.00,18 921.00,10 948.00,8 313.00,10 438.00,19 686.00,6 885.00,17 799.00,7 837.00,13 379.00,10 948.00,9 112.00,7 582.00,7 616.00,,2 669.00,1 207.00,,,,,,,,,,,,,9.98,3.29,7.57,4.38,3.33,4.18,7.87,2.75,7.12,3.13,5.35,4.38,3.64,3.03,3.05,,1.07,0.48,,,,,,,,,,,,,0.47,0.17,0.41,0.24,0.18,0.23,0.43,0.15,0.39,0.17,0.31,0.25,0.21,0.18,0.19,,0.08,0.03,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,CTM_CHYSTA_VYHODA,dogs,economy,sack,0,5 517.00,1 740.00,5 127.00,3 336.00,1 392.00,5 064.00,3 453.00,3 189.00,1 818.00,3 978.00,2 886.00,2 793.00,3 120.00,3 072.00,3 918.00,,3 420.00,2 895.00,525,2 100.00,585,2 895.00,2 925.00,6 360.00,1 710.00,2 565.00,2 430.00,,,,4.12,2.1,4.45,3.18,1.61,4.5,3.34,3.14,1.95,3.65,2.65,2.5,1.64,2.39,2.67,,1.87,1.52,0.26,1.05,0.29,1.45,1.46,3.18,0.86,1.28,1.22,,,,0.15,0.08,0.19,0.14,0.07,0.19,0.14,0.13,0.08,0.16,0.12,0.11,0.08,0.11,0.13,,0.11,0.09,0.02,0.06,0.02,0.09,0.09,0.19,0.05,0.08,0.07,,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (CROC PRO),dogs,economy,sack,1,231,1 122.00,429,693,1 782.00,792,594,1 056.00,,1 155.00,990,759,726,231,1 287.00,,1 056.00,,,858,99,960,,,2 000.00,,792,,597,,3.47,16.83,6.44,10.4,26.73,11.88,8.91,15.84,,17.33,14.85,11.39,10.89,3.47,19.31,,15.84,,,12.87,1.49,14.4,,,30,,11.88,,8.96,,0.09,0.44,0.16,0.27,0.69,0.3,0.22,0.38,,0.43,0.36,0.29,0.26,0.09,0.5,,0.44,,,0.43,0.05,0.54,,,1.21,,0.49,,0.36,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (KISSka),cats,economy,sack,1,630,260,575,200,25,182,374,550,825,293,24,240,248,10,237,280,320,181,,15,10,,134,360,4,160,42,,20,118,6.3,2.6,5.75,2,0.25,1.82,3.74,5.5,8.25,2.93,0.24,2.4,2.48,0.1,2.37,2.8,3.2,1.81,,0.15,0.1,,1.34,3.6,0.04,1.6,0.42,,0.2,1.18,0.21,0.08,0.18,0.06,0.01,0.06,0.12,0.17,0.25,0.08,0.01,0.07,0.08,0,0.07,0.08,0.09,0.1,,0,0,,0.05,0.13,0,0.06,0.01,,0.01,0.06
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Kitty Krunch),cats,economy,sack,1,2 185.00,2 033.00,190,1 273.00,1 482.00,1 045.00,1 311.00,1 653.00,2 831.00,3 857.00,418,2 679.00,1 653.00,2 318.00,285,3 059.00,969,,3 819.00,3 097.00,1 767.00,5 700.00,1 292.00,1 710.00,4 028.00,5 073.00,2 793.00,3 743.00,760,2 812.00,0.66,0.61,0.06,0.38,0.44,0.31,0.39,0.5,0.85,1.16,0.13,0.8,0.5,0.7,0.09,0.92,0.29,,1.15,0.93,0.53,1.71,0.39,0.51,1.21,1.52,0.84,1.12,0.23,0.84,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0,0.02,0.02,0.02,0,0.03,0.01,,0.05,0.04,0.02,0.08,0.02,0.02,0.05,0.08,0.04,0.06,0.01,0.04
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Mr. Maks),dogs,economy,sack,1,1 725.00,184,1 943.00,813,1 055.00,510,1 092.00,1 226.00,1 921.00,906,210,439,420,150,40,160,40,120,236,142,70,103,115,191,120,718,,,,240,13.08,1.24,13.42,6.71,7.58,3.91,7.11,9.78,13.76,5.87,1.85,3.55,3.2,1.4,0.4,1.6,0.4,1.2,2.36,1.42,0.7,1.03,1.15,1.91,1.2,7.18,,,,2.4,0.19,0.02,0.2,0.1,0.11,0.06,0.1,0.13,0.19,0.09,0.03,0.06,0.06,0.02,0.01,0.03,0,0.01,0.04,0.03,0.01,0.02,0.02,0.04,0.02,0.14,,,,0.04
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (СТМ),cats,economy,sack,0,22 504.00,4 699.00,12 291.00,9 002.00,10 769.00,11 844.00,8 706.00,10 662.00,11 995.00,18 953.00,19 365.00,9 656.00,10 293.00,20 107.00,9 446.00,9 593.00,10 657.00,10 335.00,9 232.00,10 673.00,11 561.00,13 754.00,7 205.00,3 352.00,15 172.00,7 251.00,10 153.00,5 648.00,9 072.00,7 240.00,20.31,5.68,12.63,10.05,10.18,12.37,10.41,12.62,13.53,20.68,20.35,13.72,14.38,16.89,10.08,11.52,12.43,12.99,9.84,13.47,11.95,16.46,6.73,1.35,14.3,9.99,15.67,6.16,10.04,9.35,0.85,0.27,0.61,0.48,0.5,0.6,0.5,0.61,0.65,1,1.04,0.7,0.73,0.89,0.53,0.67,0.73,0.76,0.58,0.77,0.73,1.02,0.43,0.1,0.91,0.61,0.95,0.42,0.71,0.65
