category,manufacturer/importer,brand,pet_type,price_segment,package_type,export,january_2021_units,february_2021_units,march_2021_units,april_2021_units,may_2021_units,june_2021_units,july_2021_units,august_2021_units,september_2021_units,october_2021_units,november_2021_units,december_2021_units,january_2022_units,february_2022_units,march_2022_units,april_2022_units,may_2022_units,june_2022_units,july_2022_units,august_2022_units,september_2022_units,october_2022_units,november_2022_units,december_2022_units,january_2023_units,february_2023_units,march_2023_units,april_2023_units,may_2023_units,june_2023_units,january_2021_tons,february_2021_tons,march_2021_tons,april_2021_tons,may_2021_tons,june_2021_tons,july_2021_tons,august_2021_tons,september_2021_tons,october_2021_tons,november_2021_tons,december_2021_tons,january_2022_tons,february_2022_tons,march_2022_tons,april_2022_tons,may_2022_tons,june_2022_tons,july_2022_tons,august_2022_tons,september_2022_tons,october_2022_tons,november_2022_tons,december_2022_tons,january_2023_tons,february_2023_tons,march_2023_tons,april_2023_tons,may_2023_tons,june_2023_tons,january_2021_mil_uah,february_2021_mil_uah,march_2021_mil_uah,april_2021_mil_uah,may_2021_mil_uah,june_2021_mil_uah,july_2021_mil_uah,august_2021_mil_uah,september_2021_mil_uah,october_2021_mil_uah,november_2021_mil_uah,december_2021_mil_uah,january_2022_mil_uah,february_2022_mil_uah,march_2022_mil_uah,april_2022_mil_uah,may_2022_mil_uah,june_2022_mil_uah,july_2022_mil_uah,august_2022_mil_uah,september_2022_mil_uah,october_2022_mil_uah,november_2022_mil_uah,december_2022_mil_uah,january_2023_mil_uah,february_2023_mil_uah,march_2023_mil_uah,april_2023_mil_uah,may_2023_mil_uah,june_2023_mil_uah
dry_cats_and_dogs,TOV_KORMOTECH,"СТМ (ТМ ""KandiKat"")",cats,economy,sack,0,8 047.00,8 922.00,9 590.00,7 697.00,2 108.00,4 828.00,,,,,,,,,,,,,,,,,,,,,,,,,9.02,10.97,9.82,7.74,0.84,1.93,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.53,0.51,0.4,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,"СТМ (ТМ ""Чиста ВигоДа!"")",cats,economy,sack,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,0.06,0.02,0.01,0.08,0.36,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0.02,,,,,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,CTM_KOTIK_OFF,cats,economy,sack,0,1 972.00,,,,7 582.00,4 420.00,3 400.00,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,3.03,1.77,1.36,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.18,0.11,0.08,,,,,,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Гемона),dogs,economy,sack,1,,1 838.00,,226,1 047.00,,,,,,,,,,,,,,,,,,,,,,,,,,,18.38,,2.26,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Dr Trend),cats,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
dry_cats_and_dogs,PP_Hal_Euro_Contract,Leopold,cats,economy,pack,0,156,358,366,114,,90,102,,78,48,156,,,,,,,792,,,,,240,,,,,,,,0.05,0.11,0.11,0.03,,0.03,0.03,,0.02,0.01,0.05,,,,,,,0.24,,,,,0.07,,,,,,,,0,0.01,0.01,0,,0,0,,0,0,0,,,,,,,0.02,,,,,0.01,,,,,,,
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,Miss_Kiss,cats,economy,sack,0,755,5 399.00,4 290.00,,2 174.00,871,2 615.00,440,1 541.00,2 945.00,1 001.00,3 718.00,,80,2 741.00,,1 141.00,,187,170,500,140,340,583,1 120.00,,2 620.00,286,,840,7.55,53.99,42.9,,21.74,8.71,26.15,4.4,15.41,29.45,10.01,37.18,,0.8,27.41,,11.41,,1.87,1.7,5,1.4,3.4,5.83,11.2,,26.2,2.86,,8.4,0.38,2.72,2.16,,1.09,0.44,1.32,0.22,0.78,1.49,0.5,1.88,,0.04,1.46,,0.7,,0.11,0.11,0.31,0.08,0.2,0.35,0.67,,1.76,0.19,,0.55
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,Pan_Kit,cats,economy,sack,1,400,1 472.00,2 838.00,,,2 878.00,,,3 656.00,,1 900.00,2 170.00,,5 019.84,50,764,23,1 944.00,3 296.00,384,4 480.00,5 120.00,4 384.00,3 776.00,3 136.00,3 456.00,19 552.00,2 304.00,8 352.00,6 854.00,2.08,14.72,28.38,,,27.82,,,36.56,,19,21.7,,50.2,0.5,7.64,0.04,8.69,22.21,3.84,23.3,51.2,33.09,37.76,31.36,34.56,23.49,23.04,51.26,14.78,0.05,0.32,0.64,,,0.62,,,0.76,,0.41,0.45,,1.06,0.01,0.18,0,0.2,0.49,0.08,0.52,1.35,0.9,1.12,0.64,1.09,0.95,0.83,1.92,0.56
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,Pan_Kit,cats,economy,sack,0,13 004.09,20 400.00,11 038.00,15 944.00,14 307.00,14 415.00,12 850.00,17 485.00,16 797.10,16 212.00,22 303.00,19 621.00,18 302.00,15 951.00,40 733.00,77 396.00,76 981.00,67 018.90,27 503.00,43 646.00,61 015.00,47 553.00,55 972.23,36 668.77,22 178.00,61 349.00,76 596.42,62 130.58,45 496.00,40 547.46,61.3,125.74,90.6,136.26,94.47,97.31,89.33,125.5,132.93,108.55,130.59,156.5,110.06,106.5,225.11,227.46,155.63,227.74,177.52,160.94,251.24,243.17,245.93,148.98,103.12,261.94,374.48,291.12,215.62,132.21,2.85,6.09,4.41,6.65,4.62,4.75,4.36,6.12,6.47,5.3,6.41,7.62,5.38,5.2,11.12,12.27,9.29,13.14,10.04,9.31,14.4,13.85,14.12,8.62,5.93,16.32,23.65,18.36,13.59,8.46
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,CarpathianPetFood,cats,middle,sack,1,36,,810,,,1 308.00,,,,,,210,,,72,954,54,384,335,48,432,265,156,300,6 480.00,48,3 092.00,48,96,2 784.00,0.05,,1.22,,,1.96,,,,,,0.32,,,0.11,1.43,0.14,4.61,2.38,0.58,1.66,2.42,1.24,3.6,24.84,0.58,6.99,0.58,1.15,8.71,0,,0.08,,,0.12,,,,,,0.02,,,0.01,0.09,0.01,0.21,0.11,0.03,0.08,0.13,0.07,0.22,1.61,0.03,0.48,0.03,0.07,0.58
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,CarpathianPetFood,cats,middle,sack,0,,36,150,152,108,312,90,120,120,174,114,192,72,108,3 180.00,3 816.00,3 852.00,1 964.00,1 118.00,3 265.00,2 096.00,1 658.00,5 600.00,2 779.00,1 767.00,3 066.00,3 100.00,2 453.00,1 935.00,1 550.00,,0.05,0.23,0.23,0.16,0.47,0.14,0.18,0.18,0.26,0.17,0.29,0.11,0.16,4.77,5.72,5.78,3.14,1.69,5.79,4.68,2.87,9.38,4.85,2.75,4.74,6.81,4.36,6.15,3.42,,0,0.02,0.02,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0.55,0.71,0.74,0.38,0.21,0.72,0.53,0.36,1.19,0.63,0.37,0.62,0.85,0.57,0.71,0.44
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,CarpathianPetFood,dogs,middle,sack,1,,,450,,,558,,,,,,90,,,72,507,51,288,274,264,96,344,426,312,1 056.00,192,129,48,192,408,,,1.35,,,1.67,,,,,,0.27,,,0.22,1.52,0.21,3.46,2.48,1.66,1.15,3.94,3.87,3.74,7.06,2.3,0.85,0.58,2.3,3.38,,,0.08,,,0.09,,,,,,0.01,,,0.01,0.09,0.01,0.14,0.11,0.07,0.05,0.19,0.2,0.2,0.41,0.12,0.05,0.03,0.14,0.2
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,CarpathianPetFood,dogs,middle,sack,0,,,24,97,21,42,33,42,39,66,33,42,18,36,2 592.00,2 337.00,631,259,270,898,676,333,1 586.00,911,513,473,799,967,937,581,,,0.07,0.29,0.06,0.13,0.1,0.13,0.12,0.2,0.1,0.13,0.05,0.11,7.78,7.01,1.89,1.03,0.92,4.97,3.47,1.5,8.48,5.18,2.54,3.1,4.51,5.29,6.41,3.41,,,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.81,0.76,0.23,0.1,0.1,0.5,0.31,0.15,0.89,0.54,0.28,0.32,0.46,0.54,0.57,0.37
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,Mister_Hav,dogs,economy,sack,0,,180,25,,45,,15,10,45,20,30,,,,1 488.00,,,,,,15,,,,,,,,,,,1.8,0.25,,0.45,,0.15,0.1,0.45,0.2,0.3,,,,14.88,,,,,,0.15,,,,,,,,,,,0.09,0.01,,0.02,,0.01,0,0.02,0.01,0.01,,,,0.76,,,,,,0.01,,,,,,,,,
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,Pan_Pes,dogs,economy,sack,1,225,640,100,450,,466,,,436,,280,375,,1 354.04,50,580,3,612,1 152.00,64,2 432.00,1 920.00,1 728.00,768,2 240.00,896,1 120.00,832,1 664.00,576,2.25,6.4,1,4.5,,4.66,,,4.36,,2.8,3.75,,13.54,0.5,5.8,0.03,6.12,11.52,0.64,24.32,19.2,17.28,7.68,22.4,8.96,11.2,8.32,16.64,5.76,0.05,0.13,0.02,0.1,,0.09,,,0.08,,0.05,0.07,,0.26,0.01,0.14,0,0.14,0.27,0.02,0.55,0.5,0.44,0.24,0.56,0.29,0.41,0.31,0.62,0.21
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,Pan_Pes,dogs,economy,sack,0,4 331.24,6 287.00,7 263.00,6 448.00,3 426.00,5 221.03,6 008.00,7 289.00,7 552.30,5 758.00,6 804.00,7 621.00,7 214.00,8 176.00,16 250.00,11 957.00,7 715.86,3 819.00,3 488.00,4 465.00,6 614.00,8 161.00,11 015.00,5 274.00,4 778.00,10 110.00,13 518.00,12 215.10,8 956.00,3 652.00,43.31,62.87,72.63,64.48,34.26,52.21,60.08,72.89,75.52,57.58,68.04,76.21,72.14,81.76,162.5,119.57,77.16,38.19,34.88,44.65,66.14,81.61,110.15,52.74,47.78,101.1,135.18,122.15,89.56,36.52,1.83,2.89,3.35,2.99,1.58,2.42,2.77,3.34,3.47,2.64,3.11,3.49,3.32,3.78,7.5,6.01,4.11,2.02,1.82,2.39,3.52,4.29,5.86,2.85,2.54,5.81,8.05,7.23,5.3,2.21
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,My_family,dogs,middle,sack,0,46,105,78,70,49,60,75,32,54,23,62,,32,24,,,,,,,,,,,,,,,,,0.55,1.25,0.92,0.84,0.59,0.72,0.9,0.37,0.64,0.27,0.74,,0.38,0.28,,,,,,,,,,,,,,,,,0.02,0.07,0.05,0.04,0.03,0.04,0.05,0.02,0.03,0.01,0.04,,0.02,0.01,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_HARCHOVI_TECH_ZAKARPATYA,Yam_Shi,cats,middle,sack,1,,,40,,,,,,260,,60,150,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,2.6,,0.6,1.5,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.05,,0.01,0.03,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_PTF_TECHNO,Home_Food,cats,premium,sack,0,6 674.59,6 218.00,4 892.61,6 938.42,5 354.90,5 981.21,5 299.44,4 850.23,5 976.52,7 668.79,8 983.88,14 122.10,7 286.10,6 176.94,872.06,2 664.13,6 875.20,8 689.95,5 679.12,6 198.66,10 055.99,7 531.42,9 878.67,4 601.10,5 789.13,8 291.59,9 549.82,8 566.31,10 535.24,10 188.12,15.69,15.28,11.21,15.08,12.76,14.77,13.95,12.61,16.74,21.91,28.5,36.9,15.16,15.96,4.21,6.67,17.47,31.52,12.99,11.44,28.5,24.48,19.97,9.3,14.25,23.84,25.34,26.42,28.53,29.16,1.62,1.74,1.31,1.8,1.41,1.69,1.63,1.48,1.87,2.58,3.24,4.25,1.8,1.77,0.4,1.03,2.83,4.17,1.92,1.73,4.2,4.05,3.43,1.72,2.62,4.35,4.48,4.77,5.53,5.76
dry_cats_and_dogs,TOV_PTF_TECHNO,Home_Food,dogs,premium,sack,0,4 932.00,3 446.87,5 084.23,6 156.06,4 722.05,6 050.69,4 439.99,5 677.11,5 175.90,7 010.13,6 775.87,10 722.38,7 156.78,4 748.14,624,2 611.00,5 413.53,4 879.83,5 020.30,4 657.70,7 440.93,4 769.80,6 487.59,3 153.99,4 599.70,6 033.79,6 296.15,7 789.99,7 407.10,7 641.11,19.6,13.55,19.55,23.54,16.35,22.18,18.06,21.11,19.35,30.06,29.23,45.69,24.72,21.05,4.75,12.42,20.69,20.66,23.23,16.47,32.72,22.58,25.03,13.19,20.08,28.78,29.22,38.5,32.63,36.01,1.68,1.44,1.83,2.34,1.56,2.22,1.69,2,1.85,2.95,2.82,4.35,2.51,1.82,0.36,1.34,2.72,2.6,2.84,2.01,4.31,3.2,3.56,1.96,3.07,4.3,4.25,5.81,5.18,5.68
dry_cats_and_dogs,TOV_PTF_TECHNO,Ситий Пес,dogs,premium,sack,0,4,4,3,3,2,3,1,1,1,3,4,,3,,,,,6,243,14,79,53,74,35,42,161,15,33,28,18,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.03,0.03,,0.03,,,,,0.01,2.26,0.11,0.73,0.43,0.71,0.22,0.26,1.39,0.12,0.29,0.26,0.18,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.23,0.01,0.08,0.03,0.06,0.02,0.02,0.14,0.01,0.03,0.03,0.02
dry_cats_and_dogs,TOV_PTF_TECHNO,Ситий Кіт,cats,premium,sack,0,0.3,0.3,0.1,,0.2,,,,3,3.3,,0.3,,,,,,7.5,20.4,21.3,20,63,101,59,62,105,51,51,22,51,0,0,0,,0,,,,0,0.01,,0,,,,,,0.01,0.03,0.11,0.1,0.4,0.67,0.17,0.31,0.51,0.09,0.2,0.1,0.18,0,0,0,,0,,,,0,0,,0,,,,,,0,0.01,0.02,0.01,0.04,0.06,0.02,0.03,0.05,0.01,0.02,0.01,0.02
treats,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,pack,1,2 100.00,13 400.00,39 300.00,9 600.00,7 900.00,12 700.00,13 700.00,7 500.00,26 400.00,15 650.00,32 000.00,23 750.00,49 000.00,6 750.00,15 150.00,7 050.00,4 500.00,6 500.00,4 000.00,7 000.00,10 000.00,1 000.00,15 000.00,500,6 400.00,7 400.00,6 100.00,5 200.00,12 000.00,3 100.00,0.01,0.07,0.2,0.05,0.04,0.06,0.07,0.04,0.13,0.08,0.16,0.12,0.25,0.03,0.08,0.04,0.02,0.03,0.02,0.04,0.05,0.01,0.08,0,0.03,0.04,0.03,0.03,0.06,0.02,0.01,0.05,0.15,0.04,0.03,0.05,0.05,0.03,0.09,0.06,0.13,0.09,0.22,0.03,0.06,0.03,0.02,0.03,0.02,0.03,0.04,0,0.07,0,0.03,0.04,0.03,0.03,0.07,0.02
treats,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,pack,0,173 735.00,163 860.00,194 740.00,233 920.00,248 250.00,204 195.00,230 767.00,233 380.00,305 740.00,416 100.00,429 400.00,344 350.00,388 400.00,387 200.00,348 470.00,289 400.00,251 750.00,288 350.00,288 257.00,288 300.00,412 950.00,309 805.00,719 300.00,693 433.00,496 450.00,591 100.00,717 500.00,648 100.00,642 950.00,858 700.00,0.87,0.82,0.97,1.17,1.24,1.02,1.15,1.17,1.53,2.08,2.15,1.72,1.94,1.94,1.74,1.45,1.26,1.44,1.44,1.44,2.06,1.55,3.6,3.47,2.48,2.96,3.59,3.24,3.21,4.29,1.76,1.61,1.91,2.27,2.24,1.93,2.23,2.26,3.14,4.51,4.65,3.75,4.54,4.5,5.46,4.43,3.33,3.33,3.12,3.45,4.6,3.44,7.79,8.86,5.98,7.19,8.86,8.1,8.04,11.21
treats,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,pack,1,5 040.00,8 204.00,3 444.00,2 932.00,3 190.00,2 990.00,3 244.00,600,17 298.00,6 996.00,4 254.00,5 622.00,17 020.00,2 036.00,2 900.00,800,356,844,542,1 182.00,772,374,1 098.00,200,454,1 060.00,1 468.00,1 800.00,2 130.00,1 000.00,0.06,0.44,0.08,0.15,0.22,0.14,0.06,0.01,0.69,0.49,0.12,0.12,0.38,0.13,0.12,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.04,0,0.01,0.03,0.08,0.09,0.05,0.03,0.04,0.1,0.03,0.03,0.04,0.03,0.03,0,0.18,0.09,0.04,0.05,0.15,0.02,0.03,0.01,0,0.01,0,0.01,0.01,0,0.01,0,0,0.01,0.02,0.02,0.02,0.01
treats,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,pack,0,47 429.00,43 624.00,45 034.00,56 100.00,58 794.00,53 292.00,55 080.00,59 785.00,63 424.00,78 562.00,63 322.00,63 158.00,68 561.00,46 282.00,22 140.00,47 183.00,80 932.00,91 538.00,79 496.00,45 102.00,117 440.00,83 020.00,83 434.00,119 232.00,47 398.00,93 149.00,118 598.00,95 384.00,96 664.00,144 884.00,1.29,1.05,1.42,1.43,1.69,1.18,1.27,1.48,1.66,1.92,1.89,1.86,1.95,1.1,0.72,1.93,2.29,2.6,2.42,2.08,3.28,2.82,2.72,4.1,2.68,2.29,3.83,2.76,2.98,3.53,0.87,0.77,0.88,1.04,1.05,0.89,0.95,1.03,1.09,1.39,1.18,1.17,1.26,0.84,0.46,1.28,1.75,1.82,1.64,1.17,2.35,1.86,1.82,2.69,1.41,1.88,2.65,2.06,2.2,2.92
treats,PP_Hal_Euro_Contract,No_brand,cats,economy,pack,0,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
treats,PP_Hal_Euro_Contract,No_brand,dogs,economy,pack,0,290,507,861,195,150,155,375,168,645,199,412,246,465,3 840.00,70,,775,340,770,2 720.00,2 145.00,1 040.00,240,2 620.00,1 270.00,1 875.00,1 760.00,1 065.00,1 355.00,2 190.00,0.04,0.05,0.08,0.02,0.02,0.01,0.04,0.02,0.08,0.03,0.06,0.05,0.09,0.3,0.01,,0.08,0.05,0.13,0.35,0.31,0.14,0.03,0.31,0.14,0.23,0.24,0.15,0.15,0.22,0.01,0.01,0.03,0,0,0,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.23,0,,0.04,0.02,0.06,0.16,0.13,0.06,0.01,0.17,0.08,0.12,0.12,0.07,0.07,0.12
treats,PP_Hal_Euro_Contract,No_brand,dogs,N/A,pack,0,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treats,TOV_PTF_TECHNO,Home_Food,cats,premium,plastic_jar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,160.02,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.01
treats,TOV_PTF_TECHNO,Home_Food,cats,premium,bucket,0,13,9,2,12,,,,,,,,,,,,,,,,,5,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
treats,TOV_PTF_TECHNO,Home_Food,cats,premium,pack,0,256,142.03,89.32,228,167.8,167.66,163,161,134,216,208,139,121,934,,34,117,164,135,158,270,176,291,175,302,210,190,256,437.05,584,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03
treats,TOV_PTF_TECHNO,Home_Food,dogs,premium,plastic_jar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,204,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.02
treats,TOV_PTF_TECHNO,Home_Food,dogs,premium,bucket,0,71,17,20,14,1,,,,,,,,,,,,,3,,,5,2,,,,,,,,,0.03,0.01,0.01,0.01,0,,,,,,,,,,,,,0,,,0,0,,,,,,,,,0.01,0.01,0.01,0,0,,,,,,,,,,,,,0,,,0,0,,,,,,,,
treats,TOV_PTF_TECHNO,Home_Food,dogs,premium,pack,0,519,485.92,601.41,691.01,361.97,407.81,425,618.03,582,602,681,703,560,1 573.00,10,68,614,962,650,714,1 126.00,953,1 238.38,771.5,944.5,922,1 053.60,951,1 500.42,1 311.00,0.12,0.13,0.14,0.14,0.05,0.05,0.05,0.09,0.08,0.1,0.09,0.09,0.08,0.16,0,0.01,0.06,0.09,0.06,0.07,0.11,0.07,0.1,0.06,0.07,0.07,0.08,0.07,0.12,0.11,0.05,0.06,0.07,0.07,0.03,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0,0,0.04,0.06,0.04,0.04,0.07,0.05,0.08,0.05,0.06,0.06,0.08,0.07,0.09,0.11
treats,TOV_PTF_TECHNO,Home_Food,cats_and_dogs,premium,pack,0,,,,,,,,,,,,,,,,,,,,,,52,109,23,37,32,31,42,24,55,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0.01,0,0,0,0,0,0,0.01
fillers,PP_Hal_Euro_Contract,No_brand,cats,economy,sack,0,,,,,,,,,,,,,,,,,977,,,140,,,,,,,,,115,,,,,,,,,,,,,,,,,,14.66,,,2.1,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,0.24,,,0.03,,,,,,,,,0.04,
veterinary_medicine,TOV_BORYSFEND_TRADE,Palladium,cats,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,Palladium,dogs,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,2 399.93,174.44,154.44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.01,0.01,0,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,Palladium,cats_and_dogs,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,289.99,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0,0,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,Pet_Line_THE_ONE,cats,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,300.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,Pet_Line_THE_ONE,dogs,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,Superium,cats,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,Superium,dogs,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,Superium,cats_and_dogs,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,199.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,SUPERIUM,dogs,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,BIOSTIM_4,cats,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
veterinary_medicine,TOV_BORYSFEND_TRADE,BIOSTIM_4,dogs,N/A,N/A,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
vitamins_and_supplements,TOV_PTF_TECHNO,Home_Food,cats,premium,plastic_jar,0,143,101,113,91.76,100.11,109,118.02,83,114,106,310,346,209.77,90,,36,81,112,128,142,268,156,187,141,195.63,291,209,412.31,174,216,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.05,0.05,0.02,0.01,,0,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.01,,0,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.02,0.03,0.02,0.04,0.02,0.03
vitamins_and_supplements,TOV_PTF_TECHNO,Home_Food,dogs,premium,plastic_jar,0,200,164,159,194,236.44,192.53,169,198.66,232,284,522.96,586.98,391.44,214,,75,223,250,260,279.89,398,292,346.23,258,234.12,431,333,574,444,467,0.04,0.04,0.03,0.04,0.07,0.05,0.03,0.04,0.04,0.06,0.11,0.12,0.08,0.05,,0.02,0.04,0.05,0.05,0.06,0.07,0.06,0.07,0.05,0.04,0.08,0.06,0.08,0.07,0.09,0.02,0.03,0.02,0.02,0.04,0.03,0.02,0.03,0.03,0.04,0.06,0.07,0.05,0.03,,0.01,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.06,0.05,0.07,0.07,0.07
vitamins_and_supplements,TOV_PTF_TECHNO,Home_Food,dogs,premium,canister,0,4,,,3,,3,,,,2,3,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,0.01,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,
